id,shortName,chassis,model,year,weight,weightClass,role,cost,bv,origin,armorType,externalArmor,internalArmor,structureType,engine,heatCapacity,heatSinks
77,VT-6X,Vulcan,6X,3070,40,Medium,Scout,6028750,952,Inner Sphere,Standard,112,67,Endo Steel,240 Light,20,10
78,CPLT-8H,Catapult,8H,3060,65,Heavy,Missile Boat,5694425,1448,Inner-Sphere,Ferror-Fibrous,188,104,Standard,260,30,15
79,CN10-B2,Centurion,B2,3070,55,Medium,Brawler,8361320,1226,Inner-Sphere,Standard,176,91,Endo Steel,220Light,20,10
80,WHM-II-CG,Warhammer II,IICG,3070,80,Assault,Brawler,19733249,3096,Clan,Hardened,228,122,Endo Steel,320 XL,38,19
81,WHM-9TC,Warhammer,9TC,3070,70,Heavy,Brawler,16550067,1704,Inner Sphere,Ferro-Fibrous,179,107,Standard,350 XL,36,18
82,WHK-Pr,Warhawk,Prime,3050,85,Assault,Sniper,26425323,3194,Clan,Ferro-Fibrous,259,130,Standard,340 XL,40,20
83,WLF-5DS,Wolfhound,5DS,3070,35,Light,Striker,3423330,1122,Inner Sphere,Standard,112,58,Endo Steel,210,24,12
84,CDA-2B,Cicada,2B,3025,40,Medium,Scout,3692967,626,Inner-Sphere,Standard,56,67,Standard,320,10,10
85,COM-1D,Commando,1D,2480,25,Light,Striker,1845000,558,Inner-Sphere,Standard,48,43,Standard,150,10,10
86,ENF-4r,Enforcer,4R,3025,50,Medium,Skirmisher,35368750,1032,Inner-Sphere,Standard,144,83,Standard,200,12,12
87,FS10,Firestarter,10,3070,35,Light,Scout,32751000,813,Inner-Sphere,Standard,112,58,Endo Steel,210,20,10
88,GHR-5H,Grasshopper,5H,3025,70,Heavy,Skirmisher,60245740,1427,Inner-Sphere,Standard,208,107,Standard,280,22,22
89,HBK-5G,Hunchback,5G,3070,50,Medium,Juggernaut,45488750,1259,Inner-Sphere,Ferro-Fibrous,161,83,Endo Steel,250,20,10
90,QKD-5k2,Quickdraw,5K2,3057,60,Heavy,Skirmisher,57161600,1312,Inner-Sphere,Ferro-Fibrous,143,99,Standard,300,34,17
91,ST-105,Shootist,105,3073,70,Heavy,Brawler,72502740,1912,Inner-Sphere,Standard,215,107,Endo Steel,280,20,10
92,SDR-7k,Spider,7K,3132,30,Light,Scout,45068400,752,Inner-Sphere,Ferro-Fibrous,98,51,Endo Steel,240Light,20,10
93,TBT-3C,Trebuchet,3C,2750,50,Medium,Missile Boat,90410000,1416,Inner-Sphere,Standard,160,83,Endo Steel,250XL,20,10
94,VLK-IIC,Valkyrie,IIC,3025,30,Light,Missile Boat,44801900,1431,Clan,Standard,105,51,Endo Steel,180XL,20,10
95,WVR-7H,Wolverine,7H,2750,55,Medium,Skirmisher,56685560,1301,Inner-Sphere,Ferro-Fibrous,161,91,Endo Steel,275,20,10
96,ZS-10TZ,Zeus,10TZ,3070,80,Heavy,Sniper,15161470,1934,Inner-Sphere,Ferro-Fibrous,241,122,Standard,320Light,32,16
